Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
INVN,"InvenSense, Inc.",7.95,$747.09M,2011,Technology,Semiconductors,http://www.nasdaq.com/symbol/invn
VBF,Invesco Bond Fund,18.18,$206.84M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vbf
VCV,Invesco California Value Municipal Income Trust,12.13,$580.61M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vcv
VTA,Invesco Credit Opportunities Fund,12.1,$896.54M,2007,n/a,n/a,http://www.nasdaq.com/symbol/vta
IHIT,Invesco High Income 2023 Target Term Fund,10.2,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/ihit
VLT,Invesco High Income Trust II,14.11,$114.55M,1989,n/a,n/a,http://www.nasdaq.com/symbol/vlt
IVR,INVESCO MORTGAGE CAPITAL INC,15.23,$1.7B,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ivr
IVR^B,INVESCO MORTGAGE CAPITAL INC,24.21,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ivr^b
IVR^A,Invesco Mortgage Capital Inc.,24.574,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ivr^a
OIA,Invesco Municipal Income Opportunities Trust,7.24,$343.46M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/oia
VMO,Invesco Municipal Opportunity Trust,12.73,$857.91M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vmo
VKQ,Invesco Municipal Trust,12.19,$674.35M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vkq
VPV,Invesco Pennsylvania Value Municipal Income Trust,12.1,$288.34M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vpv
IVZ,Invesco Plc,32.24,$13.17B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ivz
IQI,Invesco Quality Municipal Income Trust,12.39,$655.23M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iqi
VVR,Invesco Senior Income Trust,4.47,$804.76M,1998,n/a,n/a,http://www.nasdaq.com/symbol/vvr
VTN,Invesco Trust  for Investment Grade New York Municipal,13.14,$255.9M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vtn
VGM,Invesco Trust for Investment Grade Municipals,12.66,$686.49M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vgm
IIM,Invesco Value Municipal Income Trust,14.59,$686.55M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iim
ITG,"Investment Technology Group, Inc.",19.29,$628.21M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/itg
IRET,Investors Real Estate Trust,6.58,$799.68M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/iret
IRET^B,Investors Real Estate Trust,25.65,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iret^b
NVTA,Invitae Corporation,6.98,$226.47M,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/nvta
IO,Ion Geophysical Corporation,7.6,$89.58M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/io
IRM,Iron Mountain Incorporated,33.8,$8.9B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/irm
IRS,IRSA Inversiones Y Representaciones S.A.,19.11,$1.11B,n/a,Consumer Services,Homebuilding,http://www.nasdaq.com/symbol/irs
ICL,Israel Chemicals Shs,4.13,$5.27B,2014,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/icl
STAR          ,iStar Financial Inc.,12.57,$894.69M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/star
STAR^D,iStar Financial Inc.,24.27,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star^d
STAR^E,iStar Financial Inc.,24.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star^e
STAR^F,iStar Financial Inc.,24.44,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star^f
STAR^G,iStar Financial Inc.,23.95,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star^g
STAR^I,iStar Financial Inc.,24,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/star^i
ITCB,Ita? CorpBanca,12.44,$4.25B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/itcb
ITUB,Itau Unibanco Banco Holding SA,10.06,$596.53M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/itub
ITT,ITT Inc.,41.17,$3.63B,2011,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/itt
IVH,Ivy High Income Opportunities Fund,14.23,$235.75M,2013,n/a,n/a,http://www.nasdaq.com/symbol/ivh
JPM,J P Morgan Chase & Co,83.69,$299.46B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpm
JPM.WS,J P Morgan Chase & Co,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm.ws
JPM^A,J P Morgan Chase & Co,24.48,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpm^a
JPM^B,J P Morgan Chase & Co,26.83,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^b
JPM^D,J P Morgan Chase & Co,24.4362,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^d
JPM^E,J P Morgan Chase & Co,25.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^e
JPM^F,J P Morgan Chase & Co,25.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^f
JPM^G,J P Morgan Chase & Co,25.27,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jpm^g
JPM^H,J P Morgan Chase & Co,25.42,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpm^h
JAX,"J. Alexander&#39;s Holdings, Inc.",10.7,$157.29M,2015,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/jax
JCP,"J.C. Penney Company, Inc. Holding Company",10.02,$3.09B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/jcp
SJM,J.M. Smucker Company (The),126.75,$14.76B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/sjm
JBL,"Jabil Circuit, Inc.",21.49,$3.99B,1993,Technology,Electrical Products,http://www.nasdaq.com/symbol/jbl
JEC,Jacobs Engineering Group Inc.,60.49,$7.3B,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/jec
JHX,James Hardie Industries plc.,15.85,$6.98B,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/jhx
JNS,"Janus Capital Group, Inc",13.77,$2.51B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/jns
JOF,Japan Smaller Capitalization Fund Inc,10.38,$294.11M,1990,n/a,n/a,http://www.nasdaq.com/symbol/jof
JCAP,"Jernigan Capital, Inc.",20.26,$120.75M,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/jcap
JKS,JinkoSolar Holding Company Limited,14.98,$473.19M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/jks
JMP,JMP Group LLC,6.3,$133.59M,2007,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmp
JMPB,JMP Group LLC,25.57,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmpb
JMPC,JMP Group LLC,25.5599,n/a,2014,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jmpc
JBT,John Bean Technologies Corporation,86.6,$2.52B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/jbt
